g,popu,collect(g1)
"{name:garage,lpa:183,gid:garage}",69,"[{name:opera,lpa:314,gid:opera},{name:rock,lpa:165,gid:rock},{name:opera,lpa:314,gid:opera},{name:rock,lpa:165,gid:rock}]"
"{name:electronica,lpa:192,gid:electronica}",7,"[{name:techno,lpa:232,gid:techno},{name:minimal,lpa:223,gid:minimal},{name:experimental,lpa:329,gid:experimental},{name:downtempo,lpa:156,gid:downtempo},{name:house,lpa:321,gid:house},{name:dubstep,lpa:1,gid:dubstep},{name:chillout,lpa:307,gid:chillout},{name:disco,lpa:146,gid:disco},{name:electro,lpa:127,gid:electro},{name:industrial,lpa:342,gid:industrial},{name:techno,lpa:232,gid:techno},{name:disco,lpa:146,gid:disco},{name:dubstep,lpa:1,gid:dubstep},{name:minimal,lpa:223,gid:minimal},{name:experimental,lpa:329,gid:experimental},{name:electro,lpa:127,gid:electro},{name:house,lpa:321,gid:house},{name:industrial,lpa:342,gid:industrial},{name:chillout,lpa:307,gid:chillout},{name:downtempo,lpa:156,gid:downtempo}]"
"{name:ebm,lpa:195,gid:ebm}",19,"[{name:salsa,lpa:201,gid:salsa},{name:techno,lpa:232,gid:techno},{name:salsa,lpa:201,gid:salsa},{name:techno,lpa:232,gid:techno}]"
"{name:glam,lpa:200,gid:glam}",23,"[{name:soul,lpa:303,gid:soul},{name:progressive,lpa:328,gid:progressive},{name:fusion,lpa:139,gid:fusion},{name:blues,lpa:337,gid:blues},{name:indie,lpa:145,gid:indie},{name:punk,lpa:282,gid:punk},{name:jazz,lpa:339,gid:jazz},{name:pop,lpa:313,gid:pop},{name:folk,lpa:322,gid:folk},{name:metal,lpa:354,gid:metal},{name:psychedelic,lpa:164,gid:psychedelic},{name:shoegaze,lpa:229,gid:shoegaze},{name:rockabilly,lpa:144,gid:rockabilly},{name:experimental,lpa:329,gid:experimental},{name:rock,lpa:165,gid:rock},{name:psychedelic,lpa:164,gid:psychedelic},{name:jazz,lpa:339,gid:jazz},{name:folk,lpa:322,gid:folk},{name:shoegaze,lpa:229,gid:shoegaze},{name:progressive,lpa:328,gid:progressive},{name:metal,lpa:354,gid:metal},{name:fusion,lpa:139,gid:fusion},{name:soul,lpa:303,gid:soul},{name:punk,lpa:282,gid:punk},{name:blues,lpa:337,gid:blues},{name:experimental,lpa:329,gid:experimental},{name:pop,lpa:313,gid:pop},{name:indie,lpa:145,gid:indie},{name:rockabilly,lpa:144,gid:rockabilly},{name:rock,lpa:165,gid:rock}]"
"{name:salsa,lpa:201,gid:salsa}",43,"[{name:ebm,lpa:195,gid:ebm},{name:timba,lpa:391,gid:timba},{name:merengue,lpa:71,gid:merengue},{name:jazz,lpa:339,gid:jazz},{name:funk,lpa:348,gid:funk},{name:dance,lpa:239,gid:dance},{name:bebop,lpa:218,gid:bebop},{name:instrumental,lpa:137,gid:instrumental},{name:soul,lpa:303,gid:soul},{name:bachata,lpa:11,gid:bachata},{name:kizomba,lpa:371,gid:kizomba},{name:reggaeton,lpa:350,gid:reggaeton},{name:latin,lpa:169,gid:latin},{name:soul,lpa:303,gid:soul},{name:jazz,lpa:339,gid:jazz},{name:ebm,lpa:195,gid:ebm},{name:dance,lpa:239,gid:dance},{name:instrumental,lpa:137,gid:instrumental},{name:kizomba,lpa:371,gid:kizomba},{name:latin,lpa:169,gid:latin},{name:funk,lpa:348,gid:funk},{name:merengue,lpa:71,gid:merengue},{name:reggaeton,lpa:350,gid:reggaeton},{name:bebop,lpa:218,gid:bebop},{name:bachata,lpa:11,gid:bachata},{name:timba,lpa:391,gid:timba}]"
"{name:bossa nova,lpa:203,gid:bossa nova}",72,"[{name:lounge,lpa:257,gid:lounge},{name:latin,lpa:169,gid:latin},{name:jazz,lpa:339,gid:jazz},{name:latin,lpa:169,gid:latin},{name:lounge,lpa:257,gid:lounge},{name:jazz,lpa:339,gid:jazz}]"
"{name:club,lpa:208,gid:club}",64,"[{name:trap,lpa:379,gid:trap},{name:dubstep,lpa:1,gid:dubstep},{name:latin,lpa:169,gid:latin},{name:electro,lpa:127,gid:electro},{name:trance,lpa:281,gid:trance},{name:flamenco,lpa:136,gid:flamenco},{name:techno,lpa:232,gid:techno},{name:house,lpa:321,gid:house},{name:metal,lpa:354,gid:metal},{name:schlager,lpa:286,gid:schlager},{name:reggaeton,lpa:350,gid:reggaeton},{name:tango,lpa:148,gid:tango},{name:milonga,lpa:378,gid:milonga},{name:pop,lpa:313,gid:pop},{name:timba,lpa:391,gid:timba},{name:progressive,lpa:328,gid:progressive},{name:rockabilly,lpa:144,gid:rockabilly},{name:lounge,lpa:257,gid:lounge},{name:musical,lpa:357,gid:musical},{name:opera,lpa:314,gid:opera},{name:rumba,lpa:93,gid:rumba},{name:jazz,lpa:339,gid:jazz},{name:dance,lpa:239,gid:dance},{name:disco,lpa:146,gid:disco},{name:kizomba,lpa:371,gid:kizomba},{name:funk,lpa:348,gid:funk},{name:rave,lpa:256,gid:rave},{name:lounge,lpa:257,gid:lounge},{name:milonga,lpa:378,gid:milonga},{name:metal,lpa:354,gid:metal},{name:electro,lpa:127,gid:electro},{name:musical,lpa:357,gid:musical},{name:timba,lpa:391,gid:timba},{name:house,lpa:321,gid:house},{name:rockabilly,lpa:144,gid:rockabilly},{name:disco,lpa:146,gid:disco},{name:pop,lpa:313,gid:pop},{name:techno,lpa:232,gid:techno},{name:flamenco,lpa:136,gid:flamenco},{name:schlager,lpa:286,gid:schlager},{name:dance,lpa:239,gid:dance},{name:kizomba,lpa:371,gid:kizomba},{name:latin,lpa:169,gid:latin},{name:trance,lpa:281,gid:trance},{name:tango,lpa:148,gid:tango},{name:opera,lpa:314,gid:opera},{name:reggaeton,lpa:350,gid:reggaeton},{name:rave,lpa:256,gid:rave},{name:dubstep,lpa:1,gid:dubstep},{name:rumba,lpa:93,gid:rumba},{name:jazz,lpa:339,gid:jazz},{name:progressive,lpa:328,gid:progressive},{name:funk,lpa:348,gid:funk},{name:trap,lpa:379,gid:trap}]"
"{name:ballad,lpa:211,gid:ballad}",4,"[{name:rave,lpa:256,gid:rave},{name:blues,lpa:337,gid:blues},{name:psychedelic,lpa:164,gid:psychedelic},{name:jazz,lpa:339,gid:jazz},{name:chanson,lpa:344,gid:chanson},{name:mambo,lpa:95,gid:mambo},{name:dance,lpa:239,gid:dance},{name:rock,lpa:165,gid:rock},{name:electro,lpa:127,gid:electro},{name:pop,lpa:313,gid:pop},{name:rave,lpa:256,gid:rave},{name:dance,lpa:239,gid:dance},{name:blues,lpa:337,gid:blues},{name:chanson,lpa:344,gid:chanson},{name:rock,lpa:165,gid:rock},{name:psychedelic,lpa:164,gid:psychedelic},{name:jazz,lpa:339,gid:jazz},{name:electro,lpa:127,gid:electro},{name:mambo,lpa:95,gid:mambo},{name:pop,lpa:313,gid:pop}]"
"{name:bebop,lpa:218,gid:bebop}",2,"[{name:jazz,lpa:339,gid:jazz},{name:soul,lpa:303,gid:soul},{name:bluegrass,lpa:157,gid:bluegrass},{name:latin,lpa:169,gid:latin},{name:funk,lpa:348,gid:funk},{name:salsa,lpa:201,gid:salsa},{name:instrumental,lpa:137,gid:instrumental},{name:bluegrass,lpa:157,gid:bluegrass},{name:soul,lpa:303,gid:soul},{name:funk,lpa:348,gid:funk},{name:salsa,lpa:201,gid:salsa},{name:latin,lpa:169,gid:latin},{name:instrumental,lpa:137,gid:instrumental},{name:jazz,lpa:339,gid:jazz}]"
"{name:minimal,lpa:223,gid:minimal}",34,"[{name:dance,lpa:239,gid:dance},{name:industrial,lpa:342,gid:industrial},{name:electro,lpa:127,gid:electro},{name:trance,lpa:281,gid:trance},{name:progressive,lpa:328,gid:progressive},{name:electronica,lpa:192,gid:electronica},{name:chillout,lpa:307,gid:chillout},{name:experimental,lpa:329,gid:experimental},{name:techno,lpa:232,gid:techno},{name:reggae,lpa:338,gid:reggae},{name:downtempo,lpa:156,gid:downtempo},{name:electronic,lpa:163,gid:electronic},{name:rock,lpa:165,gid:rock},{name:house,lpa:321,gid:house},{name:dub,lpa:279,gid:dub},{name:chillout,lpa:307,gid:chillout},{name:industrial,lpa:342,gid:industrial},{name:dub,lpa:279,gid:dub},{name:electro,lpa:127,gid:electro},{name:electronica,lpa:192,gid:electronica},{name:experimental,lpa:329,gid:experimental},{name:reggae,lpa:338,gid:reggae},{name:house,lpa:321,gid:house},{name:downtempo,lpa:156,gid:downtempo},{name:trance,lpa:281,gid:trance},{name:progressive,lpa:328,gid:progressive},{name:dance,lpa:239,gid:dance},{name:electronic,lpa:163,gid:electronic},{name:techno,lpa:232,gid:techno},{name:rock,lpa:165,gid:rock}]"
"{name:shoegaze,lpa:229,gid:shoegaze}",4,"[{name:indie,lpa:145,gid:indie},{name:fusion,lpa:139,gid:fusion},{name:glam,lpa:200,gid:glam},{name:metal,lpa:354,gid:metal},{name:experimental,lpa:329,gid:experimental},{name:blues,lpa:337,gid:blues},{name:progressive,lpa:328,gid:progressive},{name:rock,lpa:165,gid:rock},{name:psychedelic,lpa:164,gid:psychedelic},{name:pop,lpa:313,gid:pop},{name:soul,lpa:303,gid:soul},{name:folk,lpa:322,gid:folk},{name:jazz,lpa:339,gid:jazz},{name:progressive,lpa:328,gid:progressive},{name:blues,lpa:337,gid:blues},{name:folk,lpa:322,gid:folk},{name:jazz,lpa:339,gid:jazz},{name:soul,lpa:303,gid:soul},{name:pop,lpa:313,gid:pop},{name:fusion,lpa:139,gid:fusion},{name:rock,lpa:165,gid:rock},{name:experimental,lpa:329,gid:experimental},{name:indie,lpa:145,gid:indie},{name:metal,lpa:354,gid:metal},{name:glam,lpa:200,gid:glam},{name:psychedelic,lpa:164,gid:psychedelic}]"
"{name:noise,lpa:230,gid:noise}",3,"[{name:rock,lpa:165,gid:rock},{name:rock,lpa:165,gid:rock}]"
"{name:americana,lpa:231,gid:americana}",8,"[{name:country,lpa:181,gid:country},{name:country,lpa:181,gid:country}]"
"{name:techno,lpa:232,gid:techno}",55,"[{name:psytrance,lpa:264,gid:psytrance},{name:electronic,lpa:163,gid:electronic},{name:electronica,lpa:192,gid:electronica},{name:downtempo,lpa:156,gid:downtempo},{name:trap,lpa:379,gid:trap},{name:dance,lpa:239,gid:dance},{name:electro,lpa:127,gid:electro},{name:opera,lpa:314,gid:opera},{name:kizomba,lpa:371,gid:kizomba},{name:ebm,lpa:195,gid:ebm},{name:industrial,lpa:342,gid:industrial},{name:experimental,lpa:329,gid:experimental},{name:pop,lpa:313,gid:pop},{name:club,lpa:208,gid:club},{name:tango,lpa:148,gid:tango},{name:disco,lpa:146,gid:disco},{name:progressive,lpa:328,gid:progressive},{name:latin,lpa:169,gid:latin},{name:chillout,lpa:307,gid:chillout},{name:milonga,lpa:378,gid:milonga},{name:house,lpa:321,gid:house},{name:trance,lpa:281,gid:trance},{name:dubstep,lpa:1,gid:dubstep},{name:dub,lpa:279,gid:dub},{name:flamenco,lpa:136,gid:flamenco},{name:minimal,lpa:223,gid:minimal},{name:rave,lpa:256,gid:rave},{name:psytrance,lpa:264,gid:psytrance},{name:chillout,lpa:307,gid:chillout},{name:electronica,lpa:192,gid:electronica},{name:trance,lpa:281,gid:trance},{name:industrial,lpa:342,gid:industrial},{name:dub,lpa:279,gid:dub},{name:tango,lpa:148,gid:tango},{name:club,lpa:208,gid:club},{name:disco,lpa:146,gid:disco},{name:house,lpa:321,gid:house},{name:milonga,lpa:378,gid:milonga},{name:progressive,lpa:328,gid:progressive},{name:ebm,lpa:195,gid:ebm},{name:minimal,lpa:223,gid:minimal},{name:pop,lpa:313,gid:pop},{name:opera,lpa:314,gid:opera},{name:kizomba,lpa:371,gid:kizomba},{name:electro,lpa:127,gid:electro},{name:downtempo,lpa:156,gid:downtempo},{name:dubstep,lpa:1,gid:dubstep},{name:rave,lpa:256,gid:rave},{name:dance,lpa:239,gid:dance},{name:electronic,lpa:163,gid:electronic},{name:latin,lpa:169,gid:latin},{name:trap,lpa:379,gid:trap},{name:experimental,lpa:329,gid:experimental},{name:flamenco,lpa:136,gid:flamenco}]"
"{name:dancehall,lpa:237,gid:dancehall}",4,"[{name:reggae,lpa:338,gid:reggae},{name:dance,lpa:239,gid:dance},{name:reggae,lpa:338,gid:reggae},{name:dance,lpa:239,gid:dance}]"
"{name:dance,lpa:239,gid:dance}",337,"[{name:country,lpa:181,gid:country},{name:merengue,lpa:71,gid:merengue},{name:funk,lpa:348,gid:funk},{name:bachata,lpa:11,gid:bachata},{name:salsa,lpa:201,gid:salsa},{name:musical,lpa:357,gid:musical},{name:kizomba,lpa:371,gid:kizomba},{name:dubstep,lpa:1,gid:dubstep},{name:milonga,lpa:378,gid:milonga},{name:chanson,lpa:344,gid:chanson},{name:electro,lpa:127,gid:electro},{name:reggaeton,lpa:350,gid:reggaeton},{name:blues,lpa:337,gid:blues},{name:dancehall,lpa:237,gid:dancehall},{name:tango,lpa:148,gid:tango},{name:rock,lpa:165,gid:rock},{name:ballad,lpa:211,gid:ballad},{name:flamenco,lpa:136,gid:flamenco},{name:comedy,lpa:278,gid:comedy},{name:trance,lpa:281,gid:trance},{name:mambo,lpa:95,gid:mambo},{name:trap,lpa:379,gid:trap},{name:psytrance,lpa:264,gid:psytrance},{name:club,lpa:208,gid:club},{name:opera,lpa:314,gid:opera},{name:pop,lpa:313,gid:pop},{name:soul,lpa:303,gid:soul},{name:jazz,lpa:339,gid:jazz},{name:rave,lpa:256,gid:rave},{name:minimal,lpa:223,gid:minimal},{name:idm,lpa:162,gid:idm},{name:techno,lpa:232,gid:techno},{name:disco,lpa:146,gid:disco},{name:latin,lpa:169,gid:latin},{name:electronic,lpa:163,gid:electronic},{name:house,lpa:321,gid:house},{name:alternative rock,lpa:360,gid:alternative rock},{name:bachata,lpa:11,gid:bachata},{name:minimal,lpa:223,gid:minimal},{name:techno,lpa:232,gid:techno},{name:electro,lpa:127,gid:electro},{name:idm,lpa:162,gid:idm},{name:reggaeton,lpa:350,gid:reggaeton},{name:trance,lpa:281,gid:trance},{name:country,lpa:181,gid:country},{name:pop,lpa:313,gid:pop},{name:tango,lpa:148,gid:tango},{name:dancehall,lpa:237,gid:dancehall},{name:electronic,lpa:163,gid:electronic},{name:salsa,lpa:201,gid:salsa},{name:flamenco,lpa:136,gid:flamenco},{name:house,lpa:321,gid:house},{name:disco,lpa:146,gid:disco},{name:musical,lpa:357,gid:musical},{name:chanson,lpa:344,gid:chanson},{name:jazz,lpa:339,gid:jazz},{name:ballad,lpa:211,gid:ballad},{name:funk,lpa:348,gid:funk},{name:merengue,lpa:71,gid:merengue},{name:latin,lpa:169,gid:latin},{name:soul,lpa:303,gid:soul},{name:rock,lpa:165,gid:rock},{name:blues,lpa:337,gid:blues},{name:kizomba,lpa:371,gid:kizomba},{name:milonga,lpa:378,gid:milonga},{name:club,lpa:208,gid:club},{name:dubstep,lpa:1,gid:dubstep},{name:trap,lpa:379,gid:trap},{name:comedy,lpa:278,gid:comedy},{name:opera,lpa:314,gid:opera},{name:alternative rock,lpa:360,gid:alternative rock},{name:rave,lpa:256,gid:rave},{name:psytrance,lpa:264,gid:psytrance},{name:mambo,lpa:95,gid:mambo}]"
"{name:grindcore,lpa:244,gid:grindcore}",2,"[{name:rock,lpa:165,gid:rock},{name:metal,lpa:354,gid:metal},{name:ambient,lpa:170,gid:ambient},{name:drone,lpa:124,gid:drone},{name:ambient,lpa:170,gid:ambient},{name:rock,lpa:165,gid:rock},{name:drone,lpa:124,gid:drone},{name:metal,lpa:354,gid:metal}]"
"{name:psychobilly,lpa:246,gid:psychobilly}",2,"[{name:rockabilly,lpa:144,gid:rockabilly},{name:rockabilly,lpa:144,gid:rockabilly}]"
"{name:emocore,lpa:253,gid:emocore}",1,"[{name:emo,lpa:310,gid:emo},{name:emo,lpa:310,gid:emo}]"
"{name:rave,lpa:256,gid:rave}",211,"[{name:rock,lpa:165,gid:rock},{name:drone,lpa:124,gid:drone},{name:flamenco,lpa:136,gid:flamenco},{name:house,lpa:321,gid:house},{name:pop,lpa:313,gid:pop},{name:ballad,lpa:211,gid:ballad},{name:opera,lpa:314,gid:opera},{name:electro,lpa:127,gid:electro},{name:tango,lpa:148,gid:tango},{name:trap,lpa:379,gid:trap},{name:kizomba,lpa:371,gid:kizomba},{name:psychedelic,lpa:164,gid:psychedelic},{name:latin,lpa:169,gid:latin},{name:dubstep,lpa:1,gid:dubstep},{name:techno,lpa:232,gid:techno},{name:trance,lpa:281,gid:trance},{name:blues,lpa:337,gid:blues},{name:soul,lpa:303,gid:soul},{name:milonga,lpa:378,gid:milonga},{name:club,lpa:208,gid:club},{name:dance,lpa:239,gid:dance},{name:disco,lpa:146,gid:disco},{name:ballad,lpa:211,gid:ballad},{name:house,lpa:321,gid:house},{name:flamenco,lpa:136,gid:flamenco},{name:disco,lpa:146,gid:disco},{name:soul,lpa:303,gid:soul},{name:rock,lpa:165,gid:rock},{name:drone,lpa:124,gid:drone},{name:pop,lpa:313,gid:pop},{name:trap,lpa:379,gid:trap},{name:blues,lpa:337,gid:blues},{name:dubstep,lpa:1,gid:dubstep},{name:dance,lpa:239,gid:dance},{name:milonga,lpa:378,gid:milonga},{name:psychedelic,lpa:164,gid:psychedelic},{name:latin,lpa:169,gid:latin},{name:electro,lpa:127,gid:electro},{name:trance,lpa:281,gid:trance},{name:tango,lpa:148,gid:tango},{name:club,lpa:208,gid:club},{name:opera,lpa:314,gid:opera},{name:techno,lpa:232,gid:techno},{name:kizomba,lpa:371,gid:kizomba}]"
"{name:lounge,lpa:257,gid:lounge}",20,"[{name:ambient,lpa:170,gid:ambient},{name:jazz,lpa:339,gid:jazz},{name:club,lpa:208,gid:club},{name:reggaeton,lpa:350,gid:reggaeton},{name:house,lpa:321,gid:house},{name:bossa nova,lpa:203,gid:bossa nova},{name:progressive,lpa:328,gid:progressive},{name:progressive,lpa:328,gid:progressive},{name:bossa nova,lpa:203,gid:bossa nova},{name:jazz,lpa:339,gid:jazz},{name:club,lpa:208,gid:club},{name:ambient,lpa:170,gid:ambient},{name:house,lpa:321,gid:house},{name:reggaeton,lpa:350,gid:reggaeton}]"
"{name:psytrance,lpa:264,gid:psytrance}",1,"[{name:techno,lpa:232,gid:techno},{name:trance,lpa:281,gid:trance},{name:dance,lpa:239,gid:dance},{name:techno,lpa:232,gid:techno},{name:trance,lpa:281,gid:trance},{name:dance,lpa:239,gid:dance}]"
"{name:metalcore,lpa:275,gid:metalcore}",4,"[{name:metal,lpa:354,gid:metal},{name:metal,lpa:354,gid:metal}]"
"{name:comedy,lpa:278,gid:comedy}",23,"[{name:opera,lpa:314,gid:opera},{name:dance,lpa:239,gid:dance},{name:opera,lpa:314,gid:opera},{name:dance,lpa:239,gid:dance}]"
"{name:dub,lpa:279,gid:dub}",2,"[{name:techno,lpa:232,gid:techno},{name:minimal,lpa:223,gid:minimal},{name:techno,lpa:232,gid:techno},{name:minimal,lpa:223,gid:minimal}]"
"{name:trance,lpa:281,gid:trance}",47,"[{name:disco,lpa:146,gid:disco},{name:techno,lpa:232,gid:techno},{name:psytrance,lpa:264,gid:psytrance},{name:electronic,lpa:163,gid:electronic},{name:milonga,lpa:378,gid:milonga},{name:latin,lpa:169,gid:latin},{name:dance,lpa:239,gid:dance},{name:progressive,lpa:328,gid:progressive},{name:pop,lpa:313,gid:pop},{name:tango,lpa:148,gid:tango},{name:dubstep,lpa:1,gid:dubstep},{name:psychedelic,lpa:164,gid:psychedelic},{name:opera,lpa:314,gid:opera},{name:flamenco,lpa:136,gid:flamenco},{name:minimal,lpa:223,gid:minimal},{name:trap,lpa:379,gid:trap},{name:club,lpa:208,gid:club},{name:rave,lpa:256,gid:rave},{name:electro,lpa:127,gid:electro},{name:house,lpa:321,gid:house},{name:kizomba,lpa:371,gid:kizomba},{name:flamenco,lpa:136,gid:flamenco},{name:minimal,lpa:223,gid:minimal},{name:electronic,lpa:163,gid:electronic},{name:milonga,lpa:378,gid:milonga},{name:opera,lpa:314,gid:opera},{name:psychedelic,lpa:164,gid:psychedelic},{name:club,lpa:208,gid:club},{name:kizomba,lpa:371,gid:kizomba},{name:dubstep,lpa:1,gid:dubstep},{name:disco,lpa:146,gid:disco},{name:dance,lpa:239,gid:dance},{name:electro,lpa:127,gid:electro},{name:tango,lpa:148,gid:tango},{name:progressive,lpa:328,gid:progressive},{name:psytrance,lpa:264,gid:psytrance},{name:latin,lpa:169,gid:latin},{name:trap,lpa:379,gid:trap},{name:rave,lpa:256,gid:rave},{name:pop,lpa:313,gid:pop},{name:techno,lpa:232,gid:techno},{name:house,lpa:321,gid:house}]"
"{name:punk,lpa:282,gid:punk}",21,"[{name:soul,lpa:303,gid:soul},{name:drone,lpa:124,gid:drone},{name:blues,lpa:337,gid:blues},{name:folk,lpa:322,gid:folk},{name:glam,lpa:200,gid:glam},{name:psychedelic,lpa:164,gid:psychedelic},{name:indie,lpa:145,gid:indie},{name:ska,lpa:135,gid:ska},{name:rockabilly,lpa:144,gid:rockabilly},{name:rock,lpa:165,gid:rock},{name:funk,lpa:348,gid:funk},{name:metal,lpa:354,gid:metal},{name:rock,lpa:165,gid:rock},{name:metal,lpa:354,gid:metal},{name:folk,lpa:322,gid:folk},{name:glam,lpa:200,gid:glam},{name:drone,lpa:124,gid:drone},{name:ska,lpa:135,gid:ska},{name:blues,lpa:337,gid:blues},{name:soul,lpa:303,gid:soul},{name:rockabilly,lpa:144,gid:rockabilly},{name:indie,lpa:145,gid:indie},{name:funk,lpa:348,gid:funk},{name:psychedelic,lpa:164,gid:psychedelic}]"
"{name:schlager,lpa:286,gid:schlager}",15,"[{name:celtic,lpa:290,gid:celtic},{name:club,lpa:208,gid:club},{name:pop,lpa:313,gid:pop},{name:trap,lpa:379,gid:trap},{name:pop,lpa:313,gid:pop},{name:club,lpa:208,gid:club},{name:trap,lpa:379,gid:trap},{name:celtic,lpa:290,gid:celtic}]"
"{name:celtic,lpa:290,gid:celtic}",9,"[{name:trap,lpa:379,gid:trap},{name:schlager,lpa:286,gid:schlager},{name:schlager,lpa:286,gid:schlager},{name:trap,lpa:379,gid:trap}]"
"{name:britpop,lpa:293,gid:britpop}",1,"[{name:disco,lpa:146,gid:disco},{name:indie,lpa:145,gid:indie},{name:indie,lpa:145,gid:indie},{name:disco,lpa:146,gid:disco}]"
"{name:soul,lpa:303,gid:soul}",97,"[{name:progressive,lpa:328,gid:progressive},{name:salsa,lpa:201,gid:salsa},{name:bebop,lpa:218,gid:bebop},{name:downtempo,lpa:156,gid:downtempo},{name:reggae,lpa:338,gid:reggae},{name:funk,lpa:348,gid:funk},{name:latin,lpa:169,gid:latin},{name:metal,lpa:354,gid:metal},{name:blues,lpa:337,gid:blues},{name:disco,lpa:146,gid:disco},{name:psychedelic,lpa:164,gid:psychedelic},{name:shoegaze,lpa:229,gid:shoegaze},{name:rave,lpa:256,gid:rave},{name:instrumental,lpa:137,gid:instrumental},{name:glam,lpa:200,gid:glam},{name:drone,lpa:124,gid:drone},{name:trap,lpa:379,gid:trap},{name:experimental,lpa:329,gid:experimental},{name:punk,lpa:282,gid:punk},{name:jazz,lpa:339,gid:jazz},{name:ska,lpa:135,gid:ska},{name:pop,lpa:313,gid:pop},{name:dance,lpa:239,gid:dance},{name:fusion,lpa:139,gid:fusion},{name:folk,lpa:322,gid:folk},{name:rock,lpa:165,gid:rock},{name:country,lpa:181,gid:country},{name:indie,lpa:145,gid:indie},{name:glam,lpa:200,gid:glam},{name:punk,lpa:282,gid:punk},{name:metal,lpa:354,gid:metal},{name:blues,lpa:337,gid:blues},{name:folk,lpa:322,gid:folk},{name:bebop,lpa:218,gid:bebop},{name:ska,lpa:135,gid:ska},{name:disco,lpa:146,gid:disco},{name:instrumental,lpa:137,gid:instrumental},{name:pop,lpa:313,gid:pop},{name:indie,lpa:145,gid:indie},{name:experimental,lpa:329,gid:experimental},{name:latin,lpa:169,gid:latin},{name:progressive,lpa:328,gid:progressive},{name:funk,lpa:348,gid:funk},{name:dance,lpa:239,gid:dance},{name:rock,lpa:165,gid:rock},{name:salsa,lpa:201,gid:salsa},{name:trap,lpa:379,gid:trap},{name:reggae,lpa:338,gid:reggae},{name:drone,lpa:124,gid:drone},{name:fusion,lpa:139,gid:fusion},{name:rave,lpa:256,gid:rave},{name:shoegaze,lpa:229,gid:shoegaze},{name:country,lpa:181,gid:country},{name:jazz,lpa:339,gid:jazz},{name:downtempo,lpa:156,gid:downtempo},{name:psychedelic,lpa:164,gid:psychedelic}]"
"{name:chillout,lpa:307,gid:chillout}",2,"[{name:techno,lpa:232,gid:techno},{name:minimal,lpa:223,gid:minimal},{name:industrial,lpa:342,gid:industrial},{name:downtempo,lpa:156,gid:downtempo},{name:electronica,lpa:192,gid:electronica},{name:experimental,lpa:329,gid:experimental},{name:experimental,lpa:329,gid:experimental},{name:minimal,lpa:223,gid:minimal},{name:electronica,lpa:192,gid:electronica},{name:industrial,lpa:342,gid:industrial},{name:techno,lpa:232,gid:techno},{name:downtempo,lpa:156,gid:downtempo}]"
"{name:emo,lpa:310,gid:emo}",1,"[{name:emocore,lpa:253,gid:emocore},{name:emocore,lpa:253,gid:emocore}]"
