,g,popu,collect(g1)
66,folk,30,"progressive,indie,jazz,opera,soul,metal,glam,experimental,psychedelic,shoegaze,punk,tango,blues,pop,fusion,rock,swing"
67,progressive,14,"jazz,glam,soul,rock,house,lounge,fusion,indie,club,metal,pop,psychedelic,shoegaze,techno,electro,minimal,folk,experimental,blues,trance"
68,experimental,4,"jazz,glam,rock,soul,downtempo,electronica,industrial,fusion,indie,chillout,metal,pop,psychedelic,shoegaze,progressive,techno,minimal,folk,blues"
69,blues,71,"jazz,ska,musical,glam,rock,country,soul,ballad,punk,fusion,reggae,funk,chanson,indie,dance,metal,pop,psychedelic,shoegaze,progressive,mambo,folk,rave,experimental,orchestral"
70,reggae,14,"trap,dancehall,minimal,jazz,opera,blues,pop,rock,soul"
71,jazz,294,"opera,salsa,musical,glam,drone,country,rock,swing,soul,ballad,latin,tango,lounge,fusion,reggae,disco,funk,indie,bossa nova,dance,club,metal,pop,psychedelic,shoegaze,progressive,bebop,electro,timba,instrumental,folk,experimental,blues,bluegrass"
72,swing,24,"jazz,folk,tango,drone,rock"
73,industrial,7,"minimal,downtempo,chillout,experimental,electronica,techno"
74,chanson,1,"mambo,blues,ballad,dance"
75,funk,21,"jazz,ska,salsa,rock,soul,latin,house,punk,fusion,disco,indie,dance,club,pop,bebop,trap,instrumental,blues,orchestral"
76,reggaeton,70,"timba,disco,trap,dance,salsa,latin,club,rumba,pop,merengue,bachata,lounge"
77,metal,48,"jazz,glam,drone,rock,soul,milonga,house,punk,tango,fusion,disco,indie,metalcore,club,ambient,pop,psychedelic,shoegaze,progressive,grindcore,folk,experimental,blues"
78,musical,44,"jazz,dance,opera,club,blues,pop,rock"
79,alternative rock,1,"disco,dance"
80,kizomba,6,"trap,disco,flamenco,milonga,dance,opera,bachata,salsa,club,latin,house,rave,pop,tango,techno,trance,electro"
81,milonga,28,"trap,flamenco,electro,kizomba,indie,disco,dance,opera,club,latin,house,metal,rave,pop,tango,techno,trance,rock"
82,trap,108,"opera,celtic,drone,soul,rock,flamenco,milonga,latin,dubstep,house,tango,reggae,disco,kizomba,funk,indie,schlager,dance,reggaeton,club,pop,techno,electro,instrumental,grunge,rave,trance"
83,timba,3,"jazz,reggaeton,club,salsa,rumba"
